ID,Group,Category,Title,Current state,Local behavior,Upstream behavior,Local evidence,Upstream evidence,Classification,Impact,Disposition,Defect,Confidence,Provenance,Notes
STR-001,Structure,Vendor model,In-tree owned snapshot,Active,"The package is copied into QwenVoice and maintained as source, not as a submodule or remote SPM dependency.",Upstream is the standalone source repository and package.,[`third_party_patches/mlx-audio-swift/UPSTREAM.md`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/UPSTREAM.md) — vendor metadata and ownership statement.,[`README.md`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/README.md),maintainability,Deterministic source and local patch ownership; higher sync burden.,Keep local; rename conceptually as an owned Qwen3 runtime.,No,Confirmed in source,[specialization commit](https://github.com/PowerBeef/Vocello/commit/a2b5f15ddb683ba02db8fd3873022b9990fdfb93),
STR-002,Structure,Package specialization,Qwen3-TTS-only product surface,Active,"Only MLXAudioCore, MLXAudioCodecs, and MLXAudioTTS products remain.","Current upstream exposes Core, Codecs, TTS, STT, VAD, LID, STS, UI, G2P, an aggregate product, and command-line tools.",[`third_party_patches/mlx-audio-swift/Package.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Package.swift),[`Package.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Package.swift),product-specific,Smaller compile surface and less unrelated churn; not a generally reusable audio SDK.,Keep local,No,Confirmed in source,[`a2b5f15d`](https://github.com/PowerBeef/Vocello/commit/a2b5f15ddb683ba02db8fd3873022b9990fdfb93),
STR-003,Structure,Source reduction,Removed multi-model targets,Active,"STT, STS, VAD, LID, G2P, UI, and Tools source targets were deleted from the snapshot.",All remain active upstream.,[`third_party_patches/mlx-audio-swift/UPSTREAM.md`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/UPSTREAM.md),[`Package.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Package.swift),product-specific,Approximately 36K of the imported ~49K LOC were removed according to repository metadata.,Keep local; summarize deletions by target rather than pretending to track every deleted line.,No,Confirmed by source and specialization commit,[`a2b5f15d`](https://github.com/PowerBeef/Vocello/commit/a2b5f15ddb683ba02db8fd3873022b9990fdfb93),
STR-004,Structure,Codec scope,Mimi primitives only,Active,The codec target retains the Mimi Transformer/Conv/Quantization/Seanet primitives used by Qwen3-TTS.,"Upstream contains many codec families, including BigVGAN, DACVAE, Descript DAC, Encodec, Fish codecs, SNAC, Vocos, and others.",[`third_party_patches/mlx-audio-swift/UPSTREAM.md`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/UPSTREAM.md),[`Sources/MLXAudioCodecs/Mimi/Conv.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioCodecs/Mimi/Conv.swift),product-specific,Reduces package scope while preserving the required Qwen speech-tokenizer substrate.,Keep local,No,Confirmed in source,,
STR-005,Structure,Removed generic codec APIs,AudioCodecModel and Mimi wrapper omitted,Active,The generic AudioCodecModel protocol and unused Mimi wrapper were removed because Qwen3 directly uses lower-level primitives.,The imported baseline carried those generic surfaces.,[`third_party_patches/mlx-audio-swift/UPSTREAM.md`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/UPSTREAM.md),[`Sources/MLXAudioCodecs/AudioCodecModel.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/fcbd04daa1bfebe881932f630af2ba6ce9af3274/Sources/MLXAudioCodecs/AudioCodecModel.swift),product-specific,Less unused abstraction; more divergence from upstream package layout.,Keep local,No,Confirmed in source,,
STR-006,Structure,Core pruning,Unused Core utilities removed,Active,"AudioPlayer, AudioSessionManager, PCMStreamConverter, and UnigramTokenizer were removed from the vendor package.",Upstream retains general-purpose Core utilities.,[`third_party_patches/mlx-audio-swift/UPSTREAM.md`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/UPSTREAM.md),[`Sources/MLXAudioCore/AudioPlayer.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioCore/AudioPlayer.swift),product-specific,Smaller accidental API surface.,Keep local,No,Confirmed in source,,
STR-007,Structure,Dependency policy,Exact MLX pins,Active,The vendor package pins mlx-swift 0.30.6 and mlx-swift-lm 2.30.6 exactly.,Current upstream uses compatible version ranges and a newer MLX-LM major line.,[`third_party_patches/mlx-audio-swift/Package.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Package.swift),[`Package.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Package.swift),compatibility,"Reproducible shipping substrate, but increasing migration distance.",Keep exact production pins; add a scheduled compatibility lane.,No,Confirmed in source,,
STR-008,Structure,Dependency policy,swift-huggingface 0.9.0 exact pin,Active,The fork pins swift-huggingface 0.9.0.,Current upstream declares a compatible range beginning at 0.8.1.,[`third_party_patches/mlx-audio-swift/Package.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Package.swift),[`Package.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Package.swift),compatibility,"Local dependency is newer in this dimension, but exact-pinned.",Keep until a compatibility branch proves an upgrade.,No,Confirmed in source,,
STR-009,Structure,Dependency pruning,Removed swift-transformers and MLXLLM from vendor target,Active,The Qwen-only package no longer declares swift-transformers or the MLXLLM product.,Current upstream TTS and codec targets use Transformers and MLXLLM for the broad model set.,[`third_party_patches/mlx-audio-swift/Package.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Package.swift),[`Package.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Package.swift),performance,Fewer dependencies and less compile/link surface.,Keep local,No,Confirmed in source,,
STR-010,Structure,Toolchain,Swift tools 6.1 versus upstream 6.2,Active,The local vendor manifest declares Swift tools 6.1.,Current upstream declares Swift tools 6.2.,[`third_party_patches/mlx-audio-swift/Package.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Package.swift),[`Package.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Package.swift),compatibility,Potential future manifest/API drift.,"Review with the MLX dependency upgrade, not independently.",No,Confirmed in source,,
